fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Sean Pierson,UFC 124: St-Pierre vs Koscheck 2,"Dec. 11, 2010",Matthew Riddle,Welterweight Bout,Sean Pierson,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,35 of 258,13%,4 of 49,0 of 3,1 of 1,5 of 52,0 of 1,0 of 0,1,112 of 253,44%,28 of 57,12 of 13,8 of 11,23 of 49,14 of 18,11 of 14
Sean Pierson,UFC 152: Jones vs Belfort,"Sep. 22, 2012",Sean Pierson,Welterweight Bout,Lance Benoist,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,74 of 159,46%,16 of 43,6 of 6,1 of 1,17 of 42,3 of 3,3 of 5,1,91 of 200,45%,10 of 40,9 of 11,6 of 8,21 of 55,4 of 4,0 of 0
Paddy Pimblett,UFC Fight Night: Volkov vs. Aspinall,"Mar. 19, 2022",Paddy Pimblett,Lightweight Bout,Kazula Vargas,3 Rnd (5-5-5),1,3:49,W,L,Submission,0,3 of 6,50%,1 of 4,0 of 0,2 of 2,2 of 4,0 of 1,1 of 1,0,7 of 9,77%,5 of 7,2 of 2,0 of 0,2 of 4,2 of 2,3 of 3
Paddy Pimblett,UFC Fight Night: Brunson vs. Till,"Sep. 04, 2021",Paddy Pimblett,Lightweight Bout,Luigi Vendramini,3 Rnd (5-5-5),1,4:25,W,L,KO/TKO,1,47 of 81,58%,29 of 62,7 of 8,11 of 11,46 of 80,1 of 1,0 of 0,0,25 of 51,49%,14 of 40,4 of 4,7 of 7,21 of 45,3 of 5,1 of 1
Paddy Pimblett,UFC 296: Edwards vs. Covington,"Dec. 16, 2023",Tony Ferguson,Lightweight Bout,Paddy Pimblett,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,62 of 105,59%,16 of 32,10 of 20,3 of 3,29 of 55,0 of 0,0 of 0,1,106 of 165,64%,43 of 72,11 of 15,16 of 17,54 of 82,0 of 0,16 of 22
Daniel Pineda,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,"Apr. 13, 2013",Justin Lawrence,Featherweight Bout,Daniel Pineda,3 Rnd (5-5-5),1,1:35,L,W,Submission,0,0 of 2,0%,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,0,1 of 2,50%,0 of 1,1 of 1,0 of 0,0 of 1,1 of 1,0 of 0
Domingo Pilarte,DWCS 2.5,"Jul. 17, 2018",Vince Morales,Bantamweight Bout,Domingo Pilarte,3 Rnd (5-5-5),2,1:52,L,W,Submission,1,54 of 93,58%,32 of 63,8 of 12,9 of 9,29 of 52,6 of 8,14 of 24,0,34 of 67,50%,21 of 46,5 of 8,5 of 7,31 of 61,0 of 0,0 of 0
Domingo Pilarte,UFC 247: Jones vs. Reyes,"Feb. 08, 2020",Domingo Pilarte,Bantamweight Bout,Journey Newson,3 Rnd (5-5-5),1,0:38,NC,NC,Overturned,0,1 of 4,25%,0 of 3,1 of 1,0 of 0,0 of 2,1 of 2,0 of 0,1,6 of 10,60%,6 of 10,0 of 0,0 of 0,1 of 5,0 of 0,5 of 5
Domingo Pilarte,UFC Fight Night: Dos Anjos vs. Edwards,"Jul. 20, 2019",Domingo Pilarte,Bantamweight Bout,Felipe Colares,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,11 of 21,52%,1 of 5,2 of 2,1 of 1,3 of 6,1 of 2,0 of 0,0,23 of 42,54%,10 of 16,4 of 6,0 of 0,3 of 5,6 of 12,5 of 5
Daniel Pineda,UFC Fight Night: Shogun vs Sonnen,"Aug. 17, 2013",Diego Brandao,Featherweight Bout,Daniel Pineda,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,42 of 86,48%,20 of 34,6 of 12,2 of 3,26 of 45,1 of 1,1 of 3,0,61 of 160,38%,11 of 58,5 of 9,2 of 2,18 of 69,0 of 0,0 of 0
Daniel Pineda,UFC 256: Figueiredo vs. Moreno,"Dec. 12, 2020",Cub Swanson,Featherweight Bout,Daniel Pineda,3 Rnd (5-5-5),2,1:52,W,L,KO/TKO,2,46 of 66,69%,23 of 36,4 of 7,4 of 4,23 of 36,3 of 3,5 of 8,0,21 of 45,46%,6 of 17,2 of 3,8 of 10,14 of 28,2 of 2,0 of 0
Daniel Pineda,UFC 171: Hendricks vs Lawler,"Mar. 15, 2014",Daniel Pineda,Featherweight Bout,Robert Whiteford,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,24 of 44,54%,2 of 11,5 of 6,1 of 1,7 of 16,1 of 2,0 of 0,0,26 of 50,52%,6 of 16,7 of 10,2 of 3,9 of 19,5 of 9,1 of 1
Domingo Pilarte,UFC Fight Night: Cannonier vs. Gastelum,"Aug. 21, 2021",Brian Kelleher,Bantamweight Bout,Domingo Pilarte,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,28 of 40,70%,11 of 16,1 of 2,1 of 1,0 of 1,0 of 0,13 of 18,0,3 of 11,27%,0 of 1,0 of 1,0 of 0,0 of 2,0 of 0,0 of 0
Daniel Pineda,UFC Fight Night: Gane vs. Volkov,"Jun. 26, 2021",Andre Fili,Featherweight Bout,Daniel Pineda,3 Rnd (5-5-5),2,0:46,NC,NC,Could Not Continue,0,34 of 67,50%,26 of 53,2 of 2,1 of 2,23 of 49,2 of 2,4 of 6,0,15 of 34,44%,4 of 17,2 of 3,4 of 4,10 of 24,0 of 0,0 of 0
Daniel Pineda,UFC Fight Night: Vera vs. Sandhagen,"Mar. 25, 2023",Daniel Pineda,Featherweight Bout,Tucker Lutz,3 Rnd (5-5-5),2,2:50,W,L,Submission,1,24 of 45,53%,4 of 14,4 of 9,9 of 9,16 of 30,1 of 2,0 of 0,0,28 of 78,35%,15 of 50,7 of 10,2 of 5,18 of 58,6 of 7,0 of 0
Daniel Pineda,UFC 252: Miocic vs. Cormier 3,"Aug. 15, 2020",Herbert Burns,Featherweight Bout,Daniel Pineda,3 Rnd (5-5-5),2,4:37,L,W,KO/TKO,0,10 of 22,45%,1 of 7,2 of 5,1 of 1,2 of 10,1 of 2,1 of 1,0,57 of 75,76%,19 of 32,3 of 6,2 of 2,6 of 10,1 of 1,17 of 29
Pingyuan Liu,UFC Fight Night: Blaydes vs. Ngannou 2,"Nov. 24, 2018",Pingyuan Liu,Bantamweight Bout,Martin Day,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,1,55 of 133,41%,13 of 42,2 of 7,2 of 2,13 of 43,3 of 6,1 of 2,1,100 of 184,54%,12 of 33,12 of 19,4 of 4,24 of 52,1 of 1,3 of 3
Pingyuan Liu,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec. 21, 2019",Kyung Ho Kang,Bantamweight Bout,Pingyuan Liu,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,20 of 40,50%,8 of 13,1 of 1,0 of 0,3 of 8,0 of 0,6 of 6,0,25 of 53,47%,6 of 12,0 of 0,3 of 3,3 of 8,0 of 0,6 of 7
Daniel Pineda,UFC Fight Night: Kara-France vs. Albazi,"Jun. 03, 2023",Alex Caceres,Featherweight Bout,Daniel Pineda,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,60 of 99,60%,9 of 24,5 of 5,1 of 1,6 of 15,5 of 7,4 of 8,0,27 of 56,48%,1 of 3,0 of 0,4 of 4,5 of 7,0 of 0,0 of 0
Pingyuan Liu,UFC Fight Night: De Randamie vs. Ladd,"Jul. 13, 2019",Pingyuan Liu,Bantamweight Bout,Jonathan Martinez,3 Rnd (5-5-5),3,3:54,L,W,KO/TKO,0,27 of 150,18%,8 of 50,5 of 7,2 of 3,12 of 56,3 of 4,0 of 0,1,32 of 113,28%,9 of 38,4 of 6,2 of 3,15 of 47,0 of 0,0 of 0
Maki Pitolo,DWCS 3.3,"Jul. 09, 2019",Maki Pitolo,Middleweight Bout,Justin Sumter,3 Rnd (5-5-5),1,1:37,W,L,KO/TKO,1,30 of 45,66%,16 of 30,11 of 12,3 of 3,22 of 37,8 of 8,0 of 0,0,9 of 19,47%,7 of 16,1 of 2,1 of 1,9 of 19,0 of 0,0 of 0
Maki Pitolo,UFC 250: Nunes vs. Spencer,"Jun. 06, 2020",Charles Byrd,Middleweight Bout,Maki Pitolo,3 Rnd (5-5-5),2,1:10,L,W,KO/TKO,0,11 of 25,44%,5 of 10,0 of 0,0 of 0,1 of 2,0 of 0,4 of 8,0,29 of 59,49%,2 of 10,0 of 0,0 of 0,2 of 8,0 of 0,0 of 2
Maki Pitolo,UFC Fight Night: Lewis vs. Oleinik,"Aug. 08, 2020",Maki Pitolo,Middleweight Bout,Darren Stewart,3 Rnd (5-5-5),1,3:41,L,W,Submission,0,12 of 31,38%,7 of 22,4 of 8,1 of 1,12 of 31,0 of 0,0 of 0,0,13 of 38,34%,9 of 32,2 of 4,2 of 2,13 of 38,0 of 0,0 of 0
Maki Pitolo,UFC 258: Usman vs. Burns,"Feb. 13, 2021",Maki Pitolo,Middleweight Bout,Julian Marquez,3 Rnd (5-5-5),3,4:17,L,W,Submission,0,32 of 65,49%,5 of 11,4 of 4,1 of 1,3 of 7,5 of 6,2 of 3,0,41 of 100,41%,4 of 8,0 of 0,0 of 0,1 of 5,3 of 3,0 of 0
Maki Pitolo,UFC Fight Night: Smith vs. Rakic,"Aug. 29, 2020",Maki Pitolo,Middleweight Bout,Impa Kasanganay,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,71 of 173,41%,21 of 52,7 of 11,3 of 3,31 of 65,0 of 1,0 of 0,0,85 of 198,42%,20 of 55,5 of 11,3 of 3,27 of 66,1 of 3,0 of 0
Gaetano Pirrello,UFC Fight Night: Chiesa vs. Magny,"Jan. 20, 2021",Ricky Simon,Bantamweight Bout,Gaetano Pirrello,3 Rnd (5-5-5),2,4:00,W,L,Submission,0,17 of 32,53%,9 of 18,2 of 3,0 of 0,3 of 8,3 of 5,5 of 8,0,6 of 14,42%,1 of 4,0 of 0,1 of 2,2 of 6,0 of 0,0 of 0
Luana Pinheiro,UFC Fight Night: Allen vs. Craig,"Nov. 18, 2023",Luana Pinheiro,Women's Strawweight Bout,Amanda Ribas,3 Rnd (5-5-5),3,3:53,L,W,KO/TKO,0,55 of 116,47%,17 of 42,4 of 7,4 of 5,24 of 52,1 of 2,0 of 0,1,87 of 224,38%,12 of 51,1 of 8,5 of 10,17 of 68,1 of 1,0 of 0
Maki Pitolo,UFC Fight Night: Font vs. Aldo,"Dec. 04, 2021",Maki Pitolo,Middleweight Bout,Dusko Todorovic,3 Rnd (5-5-5),1,4:34,L,W,KO/TKO,0,13 of 29,44%,5 of 20,5 of 6,3 of 3,12 of 28,1 of 1,0 of 0,0,30 of 53,56%,28 of 51,1 of 1,1 of 1,9 of 22,0 of 1,21 of 30
Luana Pinheiro,UFC Fight Night: Vieira vs. Tate,"Nov. 20, 2021",Luana Pinheiro,Women's Strawweight Bout,Sam Hughes,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,60 of 159,37%,5 of 30,4 of 6,2 of 3,10 of 37,0 of 1,1 of 1,0,53 of 130,40%,3 of 11,2 of 4,6 of 12,11 of 27,0 of 0,0 of 0
Luana Pinheiro,UFC 287: Pereira vs. Adesanya 2,"Apr. 08, 2023",Michelle Waterson-Gomez,Women's Strawweight Bout,Luana Pinheiro,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,61 of 188,32%,5 of 39,4 of 11,11 of 17,20 of 67,0 of 0,0 of 0,0,44 of 122,36%,5 of 29,4 of 6,6 of 8,14 of 42,1 of 1,0 of 0
Gaetano Pirrello,UFC Fight Night: Santos vs. Walker,"Oct. 02, 2021",Douglas Silva de Andrade,Bantamweight Bout,Gaetano Pirrello,3 Rnd (5-5-5),1,2:04,W,L,KO/TKO,1,10 of 15,66%,6 of 9,2 of 4,2 of 2,6 of 11,1 of 1,3 of 3,0,5 of 6,83%,0 of 0,2 of 3,3 of 3,4 of 5,1 of 1,0 of 0
Jamal Pogues,UFC Fight Night: Dolidze vs. Imavov,"Feb. 03, 2024",Thomas Petersen,Heavyweight Bout,Jamal Pogues,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,58 of 86,67%,5 of 13,4 of 4,0 of 0,9 of 17,0 of 0,0 of 0,0,65 of 124,52%,16 of 30,5 of 10,3 of 3,23 of 42,1 of 1,0 of 0
Igor Pokrajac,UFC 140: Jones vs Machida,"Dec. 10, 2011",Krzysztof Soszynski,Light Heavyweight Bout,Igor Pokrajac,3 Rnd (5-5-5),1,0:35,L,W,KO/TKO,0,4 of 8,50%,3 of 7,1 of 1,0 of 0,4 of 8,0 of 0,0 of 0,1,21 of 31,67%,20 of 30,0 of 0,1 of 1,7 of 15,5 of 7,9 of 9
Igor Pokrajac,UFC Live: Jones vs Matyushenko,"Aug. 01, 2010",James Irvin,Light Heavyweight Bout,Igor Pokrajac,3 Rnd (5-5-5),1,2:29,L,W,Submission,0,11 of 22,50%,11 of 22,0 of 0,0 of 0,1 of 4,0 of 2,10 of 16,0,18 of 27,66%,18 of 27,0 of 0,0 of 0,10 of 17,2 of 2,6 of 8
Igor Pokrajac,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,"Dec. 04, 2010",Stephan Bonnar,Light Heavyweight Bout,Igor Pokrajac,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,44 of 80,55%,3 of 13,10 of 11,0 of 0,0 of 7,6 of 8,7 of 9,0,23 of 55,41%,5 of 15,2 of 2,1 of 1,5 of 13,3 of 5,0 of 0
Igor Pokrajac,UFC Live: Sanchez vs Kampmann,"Mar. 03, 2011",Igor Pokrajac,Light Heavyweight Bout,Todd Brown,3 Rnd (5-5-5),1,5:00,W,L,KO/TKO,1,17 of 38,44%,17 of 38,0 of 0,0 of 0,14 of 35,3 of 3,0 of 0,0,15 of 23,65%,6 of 14,3 of 3,6 of 6,7 of 15,8 of 8,0 of 0
Igor Pokrajac,UFC on FUEL TV: Korean Zombie vs Poirier,"May. 15, 2012",Igor Pokrajac,Light Heavyweight Bout,Fabio Maldonado,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,36 of 80,45%,6 of 12,0 of 0,0 of 0,2 of 6,2 of 3,2 of 3,0,98 of 137,71%,29 of 40,7 of 7,0 of 0,25 of 34,11 of 13,0 of 0
Igor Pokrajac,UFC 152: Jones vs Belfort,"Sep. 22, 2012",Igor Pokrajac,Light Heavyweight Bout,Vinny Magalhaes,3 Rnd (5-5-5),2,1:14,L,W,Submission,0,8 of 13,61%,3 of 8,3 of 3,0 of 0,0 of 4,4 of 4,2 of 3,0,15 of 19,78%,2 of 6,9 of 9,1 of 1,0 of 2,10 of 11,2 of 3
Igor Pokrajac,UFC on FX: Sotiropoulos vs Pearson,"Dec. 14, 2012",Igor Pokrajac,Light Heavyweight Bout,Joey Beltran,3 Rnd (5-5-5),3,5:00,NC,NC,Overturned,0,48 of 94,51%,7 of 18,3 of 3,1 of 1,3 of 12,8 of 10,0 of 0,0,65 of 139,46%,14 of 25,14 of 14,7 of 7,2 of 9,33 of 37,0 of 0
Igor Pokrajac,UFC 161: Evans vs Henderson,"Jun. 15, 2013",Ryan Jimmo,Light Heavyweight Bout,Igor Pokrajac,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,65 of 83,78%,8 of 19,10 of 10,18 of 18,13 of 24,23 of 23,0 of 0,0,12 of 40,30%,3 of 23,3 of 3,1 of 1,3 of 23,4 of 4,0 of 0
Igor Pokrajac,UFC Fight Night: Machida vs Dollaway,"Dec. 20, 2014",Marcos Rogerio de Lima,Light Heavyweight Bout,Igor Pokrajac,3 Rnd (5-5-5),1,1:59,W,L,KO/TKO,1,18 of 21,85%,9 of 12,2 of 2,7 of 7,8 of 10,8 of 8,2 of 3,0,3 of 6,50%,3 of 6,0 of 0,0 of 0,3 of 6,0 of 0,0 of 0
Igor Pokrajac,UFC Fight Night: Belfort vs Henderson 2,"Nov. 09, 2013",Rafael Cavalcante,Light Heavyweight Bout,Igor Pokrajac,3 Rnd (5-5-5),1,1:18,W,L,KO/TKO,1,16 of 21,76%,11 of 16,3 of 3,2 of 2,3 of 7,11 of 12,2 of 2,0,9 of 16,56%,6 of 11,0 of 0,3 of 5,4 of 9,5 of 7,0 of 0
Dustin Poirier,WEC 52: Faber vs. Mizugaki,"Nov. 11, 2010",Zachary Micklewright,Lightweight Bout,Dustin Poirier,3 Rnd (5-5-5),1,0:53,L,W,KO/TKO,0,6 of 18,33%,5 of 17,1 of 1,0 of 0,6 of 18,0 of 0,0 of 0,0,38 of 64,59%,35 of 61,3 of 3,0 of 0,35 of 61,3 of 3,0 of 0
Dustin Poirier,WEC 50: Cruz vs. Benavidez,"Aug. 18, 2010",Danny Castillo,Lightweight Bout,Dustin Poirier,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,32 of 43,74%,6 of 13,6 of 8,6 of 6,2 of 4,6 of 8,10 of 15,0,8 of 18,44%,2 of 3,1 of 1,2 of 2,2 of 2,2 of 3,1 of 1
Dustin Poirier,UFC 125: Resolution,"Jan. 01, 2011",Dustin Poirier,Featherweight Bout,Josh Grispi,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,77 of 148,52%,22 of 52,8 of 10,8 of 8,19 of 32,18 of 36,1 of 2,0,16 of 43,37%,2 of 15,4 of 7,4 of 6,7 of 19,3 of 9,0 of 0
Dustin Poirier,UFC on FOX: Velasquez vs Dos Santos,"Nov. 12, 2011",Dustin Poirier,Featherweight Bout,Pablo Garza,3 Rnd (5-5-5),2,1:32,W,L,Submission,0,17 of 47,36%,11 of 34,1 of 3,2 of 3,9 of 26,3 of 3,2 of 11,0,14 of 34,41%,1 of 9,5 of 9,8 of 11,13 of 24,1 of 5,0 of 0
Dustin Poirier,UFC 131: Dos Santos vs Carwin,"Jun. 11, 2011",Dustin Poirier,Featherweight Bout,Jason Young,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,77 of 146,52%,24 of 54,2 of 2,10 of 12,30 of 58,6 of 10,0 of 0,0,57 of 161,35%,5 of 39,8 of 11,6 of 7,16 of 52,3 of 5,0 of 0
Dustin Poirier,UFC on FUEL TV: Barao vs McDonald,"Feb. 16, 2013",Cub Swanson,Featherweight Bout,Dustin Poirier,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,58 of 126,46%,14 of 37,4 of 7,4 of 5,19 of 46,3 of 3,0 of 0,0,58 of 140,41%,3 of 27,1 of 3,14 of 16,15 of 40,3 of 4,0 of 2
Dustin Poirier,UFC 168: Weidman vs Silva 2,"Dec. 28, 2013",Dustin Poirier,Featherweight Bout,Diego Brandao,3 Rnd (5-5-5),1,4:54,W,L,KO/TKO,1,44 of 87,50%,27 of 65,7 of 10,10 of 12,23 of 54,15 of 23,6 of 10,0,16 of 48,33%,10 of 36,4 of 10,2 of 2,14 of 43,1 of 4,1 of 1
Dustin Poirier,UFC 143: Diaz vs Condit,"Feb. 04, 2012",Dustin Poirier,Featherweight Bout,Max Holloway,3 Rnd (5-5-5),1,3:23,W,L,Submission,0,11 of 25,44%,6 of 19,0 of 1,5 of 5,7 of 21,2 of 2,2 of 2,0,11 of 32,34%,8 of 26,2 of 5,1 of 1,11 of 30,0 of 2,0 of 0
Dustin Poirier,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"Dec. 15, 2012",Dustin Poirier,Featherweight Bout,Jonathan Brookins,3 Rnd (5-5-5),1,4:15,W,L,Submission,0,35 of 73,47%,28 of 65,4 of 5,3 of 3,13 of 34,22 of 39,0 of 0,0,26 of 54,48%,20 of 46,6 of 7,0 of 1,12 of 26,14 of 28,0 of 0
Dustin Poirier,UFC 164: Henderson vs Pettis 2,"Aug. 31, 2013",Erik Koch,Featherweight Bout,Dustin Poirier,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,32 of 74,43%,2 of 9,4 of 4,2 of 2,4 of 11,4 of 4,0 of 0,2,54 of 92,58%,22 of 37,2 of 2,3 of 5,8 of 19,2 of 3,17 of 22
Dustin Poirier,UFC on FUEL TV: Korean Zombie vs Poirier,"May. 15, 2012",Chan Sung Jung,Featherweight Bout,Dustin Poirier,5 Rnd (5-5-5-5-5),4,1:07,W,L,Submission,0,74 of 154,48%,7 of 12,0 of 0,1 of 1,3 of 8,0 of 0,5 of 5,0,56 of 127,44%,3 of 6,1 of 1,4 of 6,7 of 11,1 of 2,0 of 0
Dustin Poirier,UFC 178: Johnson vs Cariaso,"Sep. 27, 2014",Dustin Poirier,Featherweight Bout,Conor McGregor,3 Rnd (5-5-5),1,1:46,L,W,KO/TKO,0,10 of 19,52%,3 of 11,0 of 0,7 of 8,10 of 19,0 of 0,0 of 0,1,9 of 29,31%,8 of 25,1 of 4,0 of 0,5 of 25,0 of 0,4 of 4
Dustin Poirier,UFC Fight Night: Bisping vs Kennedy,"Apr. 16, 2014",Dustin Poirier,Featherweight Bout,Akira Corassani,3 Rnd (5-5-5),2,0:42,W,L,KO/TKO,1,45 of 89,50%,28 of 65,3 of 4,0 of 2,24 of 63,7 of 8,0 of 0,0,24 of 66,36%,17 of 52,4 of 8,0 of 0,18 of 55,3 of 5,0 of 0
Dustin Poirier,UFC Fight Night: Boetsch vs Henderson,"Jun. 06, 2015",Dustin Poirier,Lightweight Bout,Yancy Medeiros,3 Rnd (5-5-5),1,2:38,W,L,KO/TKO,2,27 of 36,75%,25 of 34,1 of 1,1 of 1,9 of 13,15 of 20,3 of 3,0,6 of 13,46%,5 of 10,1 of 3,0 of 0,6 of 13,0 of 0,0 of 0
Dustin Poirier,UFC Fight Night: Mendes vs Lamas,"Apr. 04, 2015",Dustin Poirier,Lightweight Bout,Diego Ferreira,3 Rnd (5-5-5),1,3:45,W,L,KO/TKO,2,24 of 50,48%,20 of 45,1 of 2,3 of 3,20 of 41,1 of 2,3 of 7,0,20 of 56,35%,12 of 46,5 of 7,3 of 3,16 of 52,4 of 4,0 of 0
Dustin Poirier,UFC 195: Lawler vs Condit,"Jan. 02, 2016",Dustin Poirier,Lightweight Bout,Joe Duffy,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,72 of 137,52%,30 of 69,5 of 6,2 of 2,23 of 54,12 of 20,2 of 3,0,37 of 100,37%,19 of 57,5 of 5,1 of 1,17 of 50,8 of 13,0 of 0
Dustin Poirier,UFC 208: Holm vs. De Randamie,"Feb. 11, 2017",Dustin Poirier,Lightweight Bout,Jim Miller,3 Rnd (5-5-5),3,5:00,W,L,Decision - Majority,0,97 of 216,44%,19 of 56,4 of 6,7 of 8,23 of 61,6 of 8,1 of 1,0,71 of 135,52%,10 of 42,9 of 9,3 of 3,18 of 50,4 of 4,0 of 0
Dustin Poirier,UFC 211: Miocic vs. Dos Santos,"May. 13, 2017",Eddie Alvarez,Lightweight Bout,Dustin Poirier,3 Rnd (5-5-5),2,4:02,NC,NC,Could Not Continue,0,44 of 127,34%,9 of 44,7 of 9,1 of 2,17 of 55,0 of 0,0 of 0,0,73 of 144,50%,19 of 62,5 of 8,5 of 5,28 of 74,1 of 1,0 of 0
Dustin Poirier,UFC 199: Rockhold vs. Bisping 2,"Jun. 04, 2016",Dustin Poirier,Lightweight Bout,Bobby Green,3 Rnd (5-5-5),1,2:53,W,L,KO/TKO,2,36 of 66,54%,31 of 58,1 of 4,4 of 4,25 of 46,6 of 14,5 of 6,0,16 of 35,45%,13 of 29,2 of 3,1 of 3,15 of 32,1 of 3,0 of 0
Dustin Poirier,UFC Fight Night: Poirier vs. Johnson,"Sep. 17, 2016",Dustin Poirier,Lightweight Bout,Michael Johnson,5 Rnd (5-5-5-5-5),1,1:35,L,W,KO/TKO,0,6 of 12,50%,4 of 9,0 of 0,2 of 3,6 of 12,0 of 0,0 of 0,1,14 of 37,37%,10 of 26,1 of 6,3 of 5,10 of 32,0 of 0,4 of 5
Dustin Poirier,UFC Fight Night: Alvarez vs. Poirier 2,"Jul. 28, 2018",Eddie Alvarez,Lightweight Bout,Dustin Poirier,5 Rnd (5-5-5-5-5),2,4:05,L,W,KO/TKO,0,26 of 76,34%,5 of 29,9 of 12,4 of 6,17 of 44,1 of 3,0 of 0,1,54 of 115,46%,13 of 53,1 of 2,6 of 8,19 of 62,1 of 1,0 of 0
Dustin Poirier,UFC 236: Holloway vs. Poirier 2,,Max Holloway,UFC Interim Lightweight Title Bout,Dustin Poirier,5 Rnd (5-5-5-5-5),5,5:00,L,W,Decision - Unanimous,0,181 of 446,40%,28 of 69,2 of 2,0 of 1,30 of 71,0 of 1,0 of 0,0,178 of 381,46%,46 of 105,6 of 8,2 of 2,45 of 105,9 of 10,0 of 0
Dustin Poirier,UFC Fight Night: Poirier vs. Gaethje,"Apr. 14, 2018",Dustin Poirier,Lightweight Bout,Justin Gaethje,5 Rnd (5-5-5-5-5),4,0:33,W,L,KO/TKO,0,174 of 351,49%,49 of 114,12 of 16,2 of 2,63 of 132,0 of 0,0 of 0,0,115 of 212,54%,13 of 38,1 of 2,20 of 24,34 of 64,0 of 0,0 of 0
Dustin Poirier,UFC 264: Poirier vs. McGregor 3,"Jul. 10, 2021",Dustin Poirier,Lightweight Bout,Conor McGregor,5 Rnd (5-5-5-5-5),1,5:00,W,L,TKO - Doctor's Stoppage,0,36 of 66,54%,35 of 62,0 of 2,1 of 2,8 of 20,0 of 0,28 of 46,0,27 of 38,71%,13 of 21,6 of 9,8 of 8,17 of 26,1 of 1,9 of 11
Dustin Poirier,UFC Fight Night: Poirier vs. Pettis,"Nov. 11, 2017",Dustin Poirier,Lightweight Bout,Anthony Pettis,5 Rnd (5-5-5-5-5),3,2:08,W,L,KO/TKO,0,53 of 100,53%,28 of 56,5 of 6,0 of 1,21 of 49,8 of 10,4 of 4,0,34 of 54,62%,14 of 24,2 of 4,2 of 2,17 of 29,1 of 1,0 of 0
Dustin Poirier,UFC 242: Khabib vs. Poirier,,Khabib Nurmagomedov,UFC Lightweight Title Bout,Dustin Poirier,5 Rnd (5-5-5-5-5),3,2:06,W,L,Submission,0,22 of 41,53%,7 of 11,0 of 0,1 of 1,1 of 3,0 of 0,7 of 9,0,12 of 39,30%,0 of 1,0 of 2,2 of 3,2 of 6,0 of 0,0 of 0
Dustin Poirier,UFC 257: Poirier vs. McGregor,"Jan. 23, 2021",Dustin Poirier,Lightweight Bout,Conor McGregor,5 Rnd (5-5-5-5-5),2,2:32,W,L,KO/TKO,1,48 of 91,52%,8 of 26,0 of 0,9 of 11,17 of 37,0 of 0,0 of 0,0,29 of 66,43%,12 of 31,3 of 3,0 of 0,13 of 31,2 of 3,0 of 0
Dustin Poirier,UFC 269: Oliveira vs. Poirier,,Charles Oliveira,UFC Lightweight Title Bout,Dustin Poirier,5 Rnd (5-5-5-5-5),3,1:02,W,L,Submission,0,73 of 131,55%,28 of 66,17 of 23,3 of 3,35 of 76,13 of 15,0 of 1,1,58 of 94,61%,52 of 85,2 of 2,0 of 0,47 of 76,5 of 7,2 of 4
